"CC","Restaurante","FinDe","0","1","2","3","4","5","6","7","8","9","10"
"Miraflores","McDonalds","1",0.62018516,0.235555526503488,0.0894674843015199,0.0339810781180045,0.0129065177039107,0.00490208693976374,0.00186188536027196,0.000707171687771437,0.000268594300517222,0.00010201610092407,"3.87472289162841e-05"
"Miraflores","PolloCampero","0",0.14424368,0.12343744034317,0.105632369324422,0.0903955673260076,0.0773565777654253,0.0661983800820355,0.0566496819284615,0.0484783231646894,0.0414856312843536,0.0355015910351231,"0.0303807107908342"
"Miraflores","PolloCampero","1",0.53774583,0.248575250966352,0.114904945693367,0.053115290011647,0.024552764165174,0.0113496175586815,0.00524640801588619,0.00242517396968153,0.00112104677436671,0.000518208543399071,"0.000239544058813681"
"Miraflores","Subway","0",0.54090146,0.248327067892556,0.114006593082803,0.0523402598703882,0.024029336630646,0.0110318332453596,0.00506469848186353,0.00232519565349491,0.00106749391822479,0.00049008489403208,"0.000224997256900399"
"Miraflores","Subway","1",0.49401067,0.24996412724644,0.126479180925535,0.0639971158414369,0.0323818576784872,0.0163848744263388,0.00829057161057331,0.00419494076314398,0.00212259526036108,0.00107401055073079,"0.000543437877499471"
"Miraflores","TacoBell","0",0.06009982,0.0564878319069707,0.0530929236318873,0.0499020487177446,0.046902944797196,0.0440840864689101,0.0414346410060488,0.0389444267266584,0.0366038738659919,0.0344039878003978,"0.0323363144814467"
"Miraflores","TacoBell","1",0.68169888,0.216985514866749,0.0690667317246995,0.0219840178458963,0.00699753743343632,0.00222732398033796,0.00070895971055239,0.000225662667678127,7.1828679155733e-05,2.28631487979051e-05,"7.27736579732759e-06"
"Pradera Concepción","BurgerKing","0",0.52114739,0.249552788946276,0.119499004822541,0.0572224105924615,0.0274011007779924,0.0131210886796267,0.00628306758671909,0.00300866332536693,0.00144070629202556,0.000689885971082817,"0.000330353699245481"
"Pradera Concepción","BurgerKing","1",0.5714746,0.244891381118207,0.104942176863123,0.04497038823696,0.0192709535730391,0.00825809307354409,0.00353880263126814,0.00151646681038142,0.00064984454534677,0.000278474893236031,"0.00011933356480116"
"Pradera Concepción","GoGreen","0",0.34035534,0.224513583093365,0.148099186554326,0.0976928378045264,0.0644425589387054,0.0425091899866595,0.0280409602455525,0.018497069733378,0.0122014933056979,0.00804864992320065,"0.00530924895528864"
"Pradera Concepción","GoGreen","1",0.2592242,0.192027014140731,0.14224896502643,0.105374590870122,0.0780589468540768,0.0578241788049045,0.0428347523149673,0.0317309479149744,0.0235055183272533,0.0174123191438634,"0.0128986246440787"
